REVIEW_ID,PRODUCT_ID,CUSTOMER_ID,COUNTRY,REVIEW_DATE,REVIEW_TITLE,REVIEW_TEXT
1027,HT-1000,100000020,DE,2018-04-03,Too expensive,Review: Price mismatch. never buying such things on amazon ever again
1028,HT-1001,100000021,US,2018-04-04,Defect,Review: very poor. disappointed. Defective product.
1029,HT-1002,100000022,CA,2018-04-05,Super,Review: Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI
1030,HT-1000,100000023,DE,2018-04-06,Broke after 6 monts,Review: Not good product -: After 6 months it became turn off. It is not starting now.
1031,HT-1001,100000024,US,2018-04-07,Not worthy,Review: Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name
1032,HT-1007,100000025,CA,2018-04-08,Great,Review: Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time.
1033,HT-1030,100000026,DE,2018-04-09,Overpriced,Review: Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility.
1034,HT-1007,100000027,US,2018-04-10,Worst table ever,Review: Worst tablet ever not for student use I repeat not for students.
1035,HT-1040,100000028,CA,2018-04-11,Too expensive,Review: Price is very high not worthy
1036,HT-1040,100000029,DE,2018-04-12,Bad product,Review: bad product. Compatible issue for Microsoft office files. not better than other platform.
1037,HT-1000,100000030,US,2018-04-13,Bad Service,Review: Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly.
1038,HT-1001,100000031,CA,2018-04-14,Broken,Review: Bad. Received a broken/opened package. most likely a returned package.
1039,HT-1002,100000032,DE,2018-04-15,Pathetic,Review: pathetic. Wheel is not working well. Wheel is also very hard to press (to open the link in new window)... Now I use the wheel just to scroll. Usage of wheel as an alternate of Open in New Window is much difficult.
1040,HT-1002,100000033,US,2018-04-16,Very small but good,Review: small in size. so grip in your palm will not be very comfortable.otherwise good product.
1041,HT-1002,100000034,CA,2018-04-17,Bad ergonomic,Review: Not able to hold it properly in hand and edges are also too sharpI recommend to buy other laptop as there are also cheaper laptops on the market
1042,HT-1020,100000035,DE,2018-04-18,Very bad,Review: very bad. The mouse is small for my palm. It is difficult to click. especially double clicks. The click buttons are not very responsive.
1043,HT-1030,100000036,US,2018-04-19,Defect,Review: Defective product. not able to print a single page. Carriage struck in the sides of the printer loudly. Now I have to contact service. Very painful process
1044,HT-1007,100000037,CA,2018-04-20,Cartridge too expensive,Review: Very expensive. Cartridge is very expensive....not recommended to buy this product .
1045,HT-1040,100000038,DE,2018-04-21,Ok,Review: Average product. too bad for pc users.
1046,HT-1040,100000039,US,2018-04-22,Useless,Review: Utterly useless printer... TOTALLY unexpected from HP.. Pages getting stuck repeatedly. cartridge issues. abnormal noise.. Not worth even at 90% discount.
1047,HT-1020,100000040,CA,2018-04-23,Excellent,Review: 5starsExcellent Product and Service by Amazon and Seller.
1048,HT-1030,100000041,DE,2018-04-24,Good,Review: starsGood product but not able to login to Facetime.
1049,HT-1007,100000042,US,2018-04-25,5 stars,Review: Very good product. Perfectly packed & delivered on time. Working good till now.
1050,HT-1050,100000043,CA,2018-04-26,Best printer,Review: One of the Best printer from this company. Thanks to Amazon for fastest delivery and very Competetive Price.
1051,HT-1050,100000044,DE,2018-04-27,Best in clas,Review: There is no comparison for apple product. Performance is beyond expectation. Customer service is awesome!! loved it.
1052,HT-1010,100000001,CA,2018-04-29,Awesome,Review: This is a awesome product. My husband and I love it.
1053,HT-1011,100000002,DE,2018-04-30,Great sound,Review: Love the sound that comes out. The laptop has great speakers and battery problems have been resolved.
1054,HT-1003,100000003,US,2018-05-01,Great,Review: great device to listen to music.best blue tooth on the market today.I highly recommend it
1055,HT-1010,100000004,CA,2018-05-02,5 stars,good price Review: Excellent product at this price.The performance n battery life is superb for the whole day.Best buy. these days you don't get a compact good performing laptop at this price.
1056,HT-1003,100000005,DE,2018-05-03,Outstanding,Review: As everyone knows any Apple product is outstanding and superior to the rest. Its superb. fast and amazing.I recommend buying the AirCase MacBook sleeve ( black and green ) and the MOCA smooth touch battle hard shell skin cover ( grey colour ). Both these products are on amazon.in. both VERY GOOD and must buy products to help improve your MacBook Air experience. ( I do not advertise or sell these products btw)
1057,HT-1030,100000006,US,2018-05-04,As expected,Review: The product is what it is and there is nothing to review about its capabilities. I wanted a MacBook and after looking at multiple outlets for prices amazon had the best pricing for this product. (With offers combined).I ordered the product on prime and there was a deficit on stock and by that delayed my delivery by a couple of days. Other than that the product was as expected. Delivery was smooth and as expected. The retailer is Appario retail and to my knowledge is an amazon subsidiary.
1058,HT-1007,100000007,CA,2018-05-05,,Review: Nice Product! Have been using it since for last 3 months now. No issues faced.
1059,HT-1050,100000008,DE,2018-05-06,Amazing,Review: Its really amazing. Exactly the same experience which I heard and described.Pinters is really best and affordable to all in broad range of costly competitive products...!!
1060,HT-1011,100000009,US,2018-05-07,Amazing,Review: TSimply amazing! The best ever battery backup! High performance. And not to forget amazon packing and safety for your product is incredible. Love the way they care for your product by the time it reach safe in your hands.
1061,HT-1000,100000010,CA,2018-05-08,4 stars,Review: Got it safe.....when i ordered i was tensed as ....i thgt it might have cracks....but amazing product....thanku apple...thanku .....amazon....thnku for the best courier service
1062,HT-1003,100000011,DE,2018-05-09,5 stars,Review: Don't want to mention anything for apple MAC book :) Super product
1063,HT-1003,100000012,US,2018-05-10,5 stars,Review: Always apple is the best product.build quality and software works together.u cannot use this one for media purposes.its one time investment for office use.
1064,HT-1003,100000013,CA,2018-05-11,4 stars,Review: its a amazing product for a normal user....amazon had a good packing also
1065,HT-1010,100000014,DE,2018-05-12,5 points,Review: excellent product with good exchange price... I like product and service
1066,HT-1007,100000015,US,2018-05-13,,Review: What a fine piece of design and engineering! If you can get this. DO GET IT.
1067,HT-1030,100000016,CA,2018-05-14,Title,Review: warranty details are fine upgraded to higher firmware performing well.. not using it heavily but yes Best Buy for the price. Will update again after usage
1068,HT-1007,100000017,DE,2018-05-15,Works fine,Review: All works fine. No issues or defects till now. Its nearly more than a month from purchase. Nice packaging. Perfectly planned delivery.
1069,HT-1050,100000018,US,2018-05-16,Love it,Review: Loving it so far...1 star less because the capslock key is a little defective...doesn't press at once.
1070,HT-1010,100000019,CA,2018-05-17,3 stars,Review: was looking for a light laptop for multimedia use. perfect travel companion. as I was already using iOS ecosystem. was nt tough to shift from windows to apple.
1071,HT-1000,100000020,DE,2018-05-18,Good rate but quality sucks,Review: Best rate got from market value for money however no good quality. Had to return after 1 month already
1072,HT-1003,100000021,US,2018-05-19,5 points,Review: Not much to be said. apple is always great in quality and the look and feel!!
1073,HT-1011,100000022,CA,2018-05-20,10/10 points,Review: 10/10......the best laptop in world. apple products are amazing. you will never regret it buying. They also have solved their battery problems
1074,HT-1011,100000023,DE,2018-05-21,Very fast,Review: Fast Processor & user friendly Amazing Battery life !
1075,HT-1010,100000024,US,2018-05-22,Very good,Review: Very good and light weight laptop. This is a perfect choice for bloggers. Excellent battery life.
1076,HT-1020,100000025,CA,2018-05-23,Very bad,Review: Very bad product. The Ipad delivered is not at all working this is not expected from such a reputed brand .looking for an immediate replacement or return.
1077,HT-1030,100000026,DE,2018-05-24,Great product,Review: Great product. timeless design but flawless. Has been best at making things which do what they are suppose to without much fuss and pomp
1078,HT-1007,100000027,US,2018-05-25,5 stars,Review: Best decision I have ever made. Good purchase.
1079,HT-1050,100000028,CA,2018-05-26,Good decision,Review: Am happy that I switch from hp to samsung
1080,HT-1050,100000029,DE,2018-05-27,Love it,Review: First time using product from this company. Amazing experience. Loved it
1081,HT-1003,100000014,DE,2018-07-06,,
